YEAR,YEAR_LONG,COUNTY_CODE,COUNTY_NAME,DISTRICT_CODE,DISTRICT_NAME,TOTAL_ENROLLMENT,CHG,PCT_CHG,CHG_10Y,PCT_CHG_10Y
2016,2016-17,01,Atlantic,1300,Egg Harbor City,502,-25,-0.04743833017077803,NA,NA
2017,2017-18,01,Atlantic,1300,Egg Harbor City,535,33,0.06573705179282863,NA,NA
2018,2018-19,01,Atlantic,1300,Egg Harbor City,534,-1,-0.0018691588785046953,NA,NA
2019,2019-20,01,Atlantic,1300,Egg Harbor City,477,-57,-0.1067415730337079,NA,NA
2020,2020-21,01,Atlantic,1300,Egg Harbor City School District,509,32,0.06708595387840677,NA,NA
2021,2021-22,01,Atlantic,1300,Egg Harbor City School District,520,11,0.0216110019646365,NA,NA
2022,2022-23,01,Atlantic,1300,Egg Harbor City School District,553,33,0.06346153846153846,62,0.12627291242362526
2013,2013-14,01,Atlantic,1310,Egg Harbor Twp,7646.5,NA,NA,NA,NA
2014,2014-15,01,Atlantic,1310,Egg Harbor Twp,7566,-80.5,-0.010527692408291323,NA,NA
2015,2015-16,01,Atlantic,1310,Egg Harbor Twp,7394,-172,-0.02273328046523926,NA,NA
2016,2016-17,01,Atlantic,1310,Egg Harbor Twp,7428,34,0.00459832296456586,NA,NA
2017,2017-18,01,Atlantic,1310,Egg Harbor Twp,7364,-64,-0.008616047388260606,NA,NA
2018,2018-19,01,Atlantic,1310,Egg Harbor Twp,7356,-8,-0.0010863661053774898,NA,NA
2019,2019-20,01,Atlantic,1310,Egg Harbor Twp,7302,-54,-0.007340946166394802,NA,NA
2020,2020-21,01,Atlantic,1310,Egg Harbor Township School District,7109,-193,-0.026431114763078578,NA,NA
2021,2021-22,01,Atlantic,1310,Egg Harbor Township School District,7358,249,0.03502602335068228,NA,NA
2022,2022-23,01,Atlantic,1310,Egg Harbor Township School District,7509,151,0.02052188094590912,-137.5,-0.01798208330608775
2013,2013-14,01,Atlantic,1410,Estell Manor City,181,NA,NA,NA,NA
2014,2014-15,01,Atlantic,1410,Estell Manor City,163,-18,-0.09944751381215466,NA,NA
2015,2015-16,01,Atlantic,1410,Estell Manor City,173,10,0.06134969325153383,NA,NA
2016,2016-17,01,Atlantic,1410,Estell Manor City,172,-1,-0.005780346820809301,NA,NA
2017,2017-18,01,Atlantic,1410,Estell Manor City,184,12,0.06976744186046502,NA,NA
2018,2018-19,01,Atlantic,1410,Estell Manor City,181,-3,-0.016304347826086918,NA,NA
2019,2019-20,01,Atlantic,1410,Estell Manor City,195,14,0.07734806629834257,NA,NA
2020,2020-21,01,Atlantic,1410,Estell Manor School District,189,-6,-0.03076923076923077,NA,NA
2021,2021-22,01,Atlantic,1410,Estell Manor School District,180,-9,-0.04761904761904767,NA,NA
2022,2022-23,01,Atlantic,1410,Estell Manor School District,177,-3,-0.01666666666666672,-4,-0.02209944751381221
2013,2013-14,01,Atlantic,1540,Folsom Boro,433,NA,NA,NA,NA
2014,2014-15,01,Atlantic,1540,Folsom Boro,419,-14,-0.0323325635103926,NA,NA
2015,2015-16,01,Atlantic,1540,Folsom Boro,401,-18,-0.042959427207637235,NA,NA
2016,2016-17,01,Atlantic,1540,Folsom Boro,404,3,0.007481296758104827,NA,NA
2017,2017-18,01,Atlantic,1540,Folsom Boro,399,-5,-0.012376237623762387,NA,NA
2018,2018-19,01,Atlantic,1540,Folsom Boro,402,3,0.007518796992481258,NA,NA
2019,2019-20,01,Atlantic,1540,Folsom Boro,386,-16,-0.03980099502487566,NA,NA
2020,2020-21,01,Atlantic,1540,Folsom Borough School District,385,-1,-0.002590673575129543,NA,NA
2021,2021-22,01,Atlantic,1540,Folsom Borough School District,382,-3,-0.007792207792207795,NA,NA
2022,2022-23,01,Atlantic,1540,Folsom Borough School District,376,-6,-0.015706806282722474,-57,-0.13163972286374137
2013,2013-14,01,Atlantic,1690,Galloway Twp,3336,NA,NA,NA,NA
2014,2014-15,01,Atlantic,1690,Galloway Twp,3275,-61,-0.018285371702637887,NA,NA
2015,2015-16,01,Atlantic,1690,Galloway Twp,3286,11,0.0033587786259541286,NA,NA
2016,2016-17,01,Atlantic,1690,Galloway Twp,3269,-17,-0.005173463177114979,NA,NA
2017,2017-18,01,Atlantic,1690,Galloway Twp,3288,19,0.005812174977057216,NA,NA
2018,2018-19,01,Atlantic,1690,Galloway Twp,3302,14,0.0042579075425790425,NA,NA
2019,2019-20,01,Atlantic,1690,Galloway Twp,3301,-1,-3.0284675953962115e-4,NA,NA
2020,2020-21,01,Atlantic,1690,Galloway Township Public School District,3261,-40,-0.012117540139351735,NA,NA
2021,2021-22,01,Atlantic,1690,Galloway Township Public School District,3148,-113,-0.03465194725544307,NA,NA
2022,2022-23,01,Atlantic,1690,Galloway Township Public School District,3151,3,9.52986022871638e-4,-185,-0.0554556354916067
2013,2013-14,01,Atlantic,1790,Greater Egg Harbor Reg,3483,NA,NA,NA,NA
2014,2014-15,01,Atlantic,1790,Greater Egg Harbor Reg,3312,-171,-0.04909560723514217,NA,NA
2015,2015-16,01,Atlantic,1790,Greater Egg Harbor Reg,3273,-39,-0.011775362318840576,NA,NA
2016,2016-17,01,Atlantic,1790,Greater Egg Harbor Reg,3185,-88,-0.026886648334860985,NA,NA
2017,2017-18,01,Atlantic,1790,Greater Egg Harbor Reg,3124,-61,-0.019152276295133386,NA,NA
2018,2018-19,01,Atlantic,1790,Greater Egg Harbor Reg,3096,-28,-0.008962868117797673,NA,NA
2019,2019-20,01,Atlantic,1790,Greater Egg Harbor Reg,3031,-65,-0.02099483204134367,NA,NA
2020,2020-21,01,Atlantic,1790,Greater Egg Harbor Regional High School District,3004,-27,-0.008907951171230666,NA,NA
2021,2021-22,01,Atlantic,1790,Greater Egg Harbor Regional High School District,3083,79,0.026298268974700445,NA,NA
2022,2022-23,01,Atlantic,1790,Greater Egg Harbor Regional High School District,2968,-115,-0.03730132987349988,-515,-0.1478610393339076
2013,2013-14,01,Atlantic,1940,Hamilton Twp,3186,NA,NA,NA,NA
2014,2014-15,01,Atlantic,1940,Hamilton Twp,3102,-84,-0.026365348399246757,NA,NA
2015,2015-16,01,Atlantic,1940,Hamilton Twp,3076,-26,-0.008381689232753065,NA,NA
2016,2016-17,01,Atlantic,1940,Hamilton Twp,3182,106,0.03446033810143034,NA,NA
2017,2017-18,01,Atlantic,1940,Hamilton Twp,3074,-108,-0.033940917661847925,NA,NA
2018,2018-19,01,Atlantic,1940,Hamilton Twp,3164,90,0.029277813923227036,NA,NA
2019,2019-20,01,Atlantic,1940,Hamilton Twp,3022,-142,-0.044879898862199785,NA,NA
2020,2020-21,01,Atlantic,1940,Hamilton Township School District,2857,-165,-0.05459960291197885,NA,NA
2021,2021-22,01,Atlantic,1940,Hamilton Township School District,2870,13,0.004550227511375571,NA,NA
2022,2022-23,01,Atlantic,1940,Hamilton Township School District,2875,5,0.0017421602787457413,-311,-0.09761456371625865
2013,2013-14,01,Atlantic,1960,Hammonton Town,3630.5,NA,NA,NA,NA
2014,2014-15,01,Atlantic,1960,Hammonton Town,3600,-30.5,-0.008401046687784075,NA,NA
2015,2015-16,01,Atlantic,1960,Hammonton Town,3645,45,0.012499999999999956,NA,NA
2016,2016-17,01,Atlantic,1960,Hammonton Town,3584,-61,-0.016735253772290792,NA,NA
2017,2017-18,01,Atlantic,1960,Hammonton Town,3496,-88,-0.024553571428571397,NA,NA
2018,2018-19,01,Atlantic,1960,Hammonton Town,3500,4,0.0011441647597254523,NA,NA
2019,2019-20,01,Atlantic,1960,Hammonton Town,3495,-5,-0.0014285714285714457,NA,NA
2020,2020-21,01,Atlantic,1960,Hammonton School District,3383,-112,-0.032045779685264675,NA,NA
2021,2021-22,01,Atlantic,1960,Hammonton School District,3320,-63,-0.018622524386639028,NA,NA
2022,2022-23,01,Atlantic,1960,Hammonton School District,3340,20,0.006024096385542244,-290.5,-0.08001652664922188
2013,2013-14,01,Atlantic,2680,Linwood City,863,NA,NA,NA,NA
2014,2014-15,01,Atlantic,2680,Linwood City,860,-3,-0.0034762456546929554,NA,NA
2015,2015-16,01,Atlantic,2680,Linwood City,832,-28,-0.032558139534883734,NA,NA
2016,2016-17,01,Atlantic,2680,Linwood City,835,3,0.0036057692307691624,NA,NA
2017,2017-18,01,Atlantic,2680,Linwood City,819,-16,-0.019161676646706538,NA,NA
2018,2018-19,01,Atlantic,2680,Linwood City,807,-12,-0.0146520146520146,NA,NA
2019,2019-20,01,Atlantic,2680,Linwood City,821,14,0.017348203221809078,NA,NA
2020,2020-21,01,Atlantic,2680,Linwood City School District,807,-14,-0.01705237515225333,NA,NA
2021,2021-22,01,Atlantic,2680,Linwood City School District,791,-16,-0.019826517967781898,NA,NA
2022,2022-23,01,Atlantic,2680,Linwood City School District,803,12,0.015170670037926604,-60,-0.06952491309385866
2013,2013-14,01,Atlantic,2910,Mainland Regional,1418,NA,NA,NA,NA
2014,2014-15,01,Atlantic,2910,Mainland Regional,1355.5,-62.5,-0.04407616361071931,NA,NA
2015,2015-16,01,Atlantic,2910,Mainland Regional,1316,-39.5,-0.029140538546661765,NA,NA
2016,2016-17,01,Atlantic,2910,Mainland Regional,1302,-14,-0.010638297872340385,NA,NA
2017,2017-18,01,Atlantic,2910,Mainland Regional,1267,-35,-0.026881720430107503,NA,NA
2018,2018-19,01,Atlantic,2910,Mainland Regional,1226,-41,-0.03235990528808208,NA,NA
2019,2019-20,01,Atlantic,2910,Mainland Regional,1239,13,0.010603588907014627,NA,NA
2020,2020-21,01,Atlantic,2910,Mainland Regional High School,1239,0,0,NA,NA
2021,2021-22,01,Atlantic,2910,Mainland Regional High School,1213,-26,-0.02098466505246166,NA,NA
2022,2022-23,01,Atlantic,2910,Mainland Regional High School,1181,-32,-0.02638087386644683,-237,-0.16713681241184764
2013,2013-14,01,Atlantic,3020,Margate City,456,NA,NA,NA,NA
2014,2014-15,01,Atlantic,3020,Margate City,424,-32,-0.07017543859649122,NA,NA
2015,2015-16,01,Atlantic,3020,Margate City,399,-25,-0.05896226415094341,NA,NA
2016,2016-17,01,Atlantic,3020,Margate City,361,-38,-0.09523809523809523,NA,NA
2017,2017-18,01,Atlantic,3020,Margate City,365,4,0.011080332409972193,NA,NA
2018,2018-19,01,Atlantic,3020,Margate City,350,-15,-0.04109589041095896,NA,NA
