County,School district,"K-12 enrollment, 2013-14","K-12 enrollment, 2023-24",% change
Salem,The Lower Alloways Creek School District,177,151,-0.14689265536723162
Salem,Mannington Township School District,159,132,-0.16981132075471694
Salem,Oldmans Township School District,254,273,0.0748031496062993
Salem,Penns Grove-Carneys Point Regional School District,2189,2048,-0.06441297396071266
Salem,Pennsville School District,1721,1660.5,-0.03515398024404415
Salem,Pittsgrove Township School District,1676,1503,-0.1032219570405728
Salem,Quinton Township School District,318,232,-0.2704402515723271
Salem,Salem City School District,1026.5,1095,0.06673161227471991
Salem,Salem County Special Services School District,174.5,178,0.02005730659025784
Salem,Salem County Vocational Technical School District,773.5,784.5,0.014221073044602406
Salem,Upper Pittsgrove Twp School District,350,298,-0.14857142857142858
Salem,Woodstown-Pilesgrove Regional School District,1396,1358,-0.027220630372492782
Somerset,Bedminster Township Public School District,495,412,-0.16767676767676765
Somerset,Bernards Township School District,5715.5,4654,-0.18572303385530575
Somerset,Bound Brook School District,1643.5,1841.5,0.12047459689686635
Somerset,Branchburg Township School District,1604,1341,-0.16396508728179549
Somerset,Bridgewater-Raritan Regional School District,8496.5,7718,-0.09162596363208375
Somerset,Franklin Township Public School District,7395,6577.5,-0.1105476673427992
Somerset,Green Brook Township Public School District,920,681,-0.2597826086956522
Somerset,Hillsborough Township Public School District,7146.5,7082,-0.009025397047505823
Somerset,Manville School District,1368.5,1636.5,0.1958348556814029
Somerset,Montgomery Township School District,4733.5,4412,-0.06792014365691346
Somerset,North Plainfield School District,3242.5,3414,0.05289128758673867
Somerset,Somerset County Educational Services Commission School Distr,175,126,-0.28
Somerset,Somerset County Vocational And Technical School District,551.5,526.5,-0.045330915684496875
Somerset,Somerset Hills Regional School District,1997,1649,-0.17426139208813218
Somerset,Somerville Public School District,2357,2023,-0.14170555791260075
Somerset,South Bound Brook Public School District,421,410,-0.026128266033254133
Somerset,Warren Township School District,1895,1592,-0.15989445910290234
Somerset,Watchung Borough School District,693,646,-0.06782106782106778
Somerset,Watchung Hills Regional High School District,2178,1684,-0.22681359044995408
Sussex,Andover Regional School District,591,408,-0.30964467005076146
Sussex,Byram Township School District,884,786,-0.11085972850678738
Sussex,Frankford Township Consolidated School District,530,477,-0.09999999999999998
Sussex,Franklin Borough School District,456,430,-0.05701754385964908
Sussex,Fredon Township School District,276,172,-0.37681159420289856
Sussex,Green Township School District,480,390,-0.1875
Sussex,Hamburg School District,272,200,-0.2647058823529411
Sussex,Hampton Township School District,332,301,-0.09337349397590367
Sussex,Hardyston Township School District,735,551,-0.25034013605442174
Sussex,High Point Regional High School District,995,794,-0.2020100502512563
Sussex,Hopatcong Borough School District,1745,1412,-0.19083094555873925
Sussex,Kittatinny Regional School District,1116,745,-0.3324372759856631
Sussex,Lafayette Township School District,248,204,-0.17741935483870963
Sussex,Lenape Valley Regional High School District,831,668,-0.1961492178098676
Sussex,Montague Township School District,242,254,0.04958677685950419
Sussex,Newton Public School District,1471.5,1463.5,-0.0054366292898403445
Sussex,Ogdensburg Borough School District,275,232,-0.15636363636363637
Sussex,Sandyston-Walpack Consolidated School District,148,128,-0.1351351351351351
Sussex,Sparta Township Public School District,3232,3169,-0.019492574257425788
Sussex,Stanhope School District,357,303,-0.1512605042016807
Sussex,Stillwater Township School District,316,234,-0.259493670886076
Sussex,Sussex-Wantage Regional School District,1208,1013,-0.1614238410596026
Sussex,Northern Hills Academy School District,36,50,0.38888888888888884
Sussex,Sussex County Technical School District,772,720,-0.06735751295336789
Sussex,Vernon Township School District,3431.5,2817.5,-0.17893049686725926
Sussex,Wallkill Valley Regional High School,668,615.5,-0.07859281437125754
Union,Berkeley Heights School District,2647,2370.5,-0.1044578768417076
Union,Clark Township Public School District,2283,2236.5,-0.02036793692509853
Union,Cranford Public School District,3794.5,3680,-0.030175253656608225
Union,Elizabeth Public Schools,22193,25011.5,0.12699950434821794
Union,Garwood Boro,378,342,-0.09523809523809523
Union,Hillside Public School District,2838,2726.5,-0.039288231148696284
Union,Kenilworth School District,1384.5,1377.5,-0.0050559768869627986
Union,Linden Public School District,5705,5903.5,0.0347940403155127
Union,Morris-Union Jointure Commission School District,263,216,-0.17870722433460073
Union,Mountainside School District,763,726,-0.04849279161205766
Union,New Providence School District,2280,2271.5,-0.003728070175438636
Union,Plainfield Public School District,7112,8555,0.20289651293588307
Union,Rahway Public School District,3583.5,3779.5,0.05469513045904839
Union,Roselle Public School District,2603,2934,0.1271609681137149
Union,Roselle Park Public School District,1898.5,1901.5,0.0015801948907032681
Union,Scotch Plains-Fanwood School District,5310.5,5472.5,0.030505602109029306
Union,Springfield Public School District,2208.5,2068.5,-0.06339144215530901
Union,Summit Public School District,4050.5,3936.5,-0.02814467349709915
Union,Union County Educational Services Commission,313,307,-0.019169329073482455
Union,Union County Vocational-Technical School District,1594.5,1959.5,0.228911884603324
Union,Township Of Union School District,7226.5,7232,7.610876634609465e-4
Union,Westfield Public School District,6175,5782.5,-0.06356275303643721
Union,Winfield Township,124,127,0.024193548387096753
Warren,Allamuchy Township School District,443,399,-0.09932279909706543
Warren,Alpha Borough School District,234,188,-0.19658119658119655
Warren,Belvidere School District,738,535,-0.2750677506775068
Warren,Blairstown Elementary Township School District,513,400,-0.22027290448343084
Warren,Franklin Township School District,226,173,-0.23451327433628322
Warren,Frelinghuysen Township School District,148,108,-0.2702702702702703
Warren,Great Meadows Regional School District,812,623,-0.23275862068965514
Warren,Greenwich Township School District,820,587,-0.28414634146341466
Warren,Hackettstown Public School District,1891,1955,0.0338445267054468
Warren,Harmony Township School District,246,168,-0.31707317073170727
Warren,Hope Township School District,173,124,-0.2832369942196532
Warren,Knowlton Township School District,233,165,-0.2918454935622318
Warren,Lopatcong Township School District,829,689,-0.16887816646562126
Warren,Mansfield Township Elementary School District,694,551,-0.2060518731988472
Warren,North Warren Regional School District,963,619,-0.35721703011422634
Warren,Oxford Township School District,300,237,-0.20999999999999996
Warren,Phillipsburg School District,3422,3649.5,0.06648158971361773
Warren,Pohatcong Township School District,339,287,-0.15339233038348088
Warren,Warren Co Special Service,38,NA,NA
Warren,Warren County Vocational Technical School,444,406,-0.0855855855855856
Warren,Warren Hills Regional School District,1873,1546,-0.17458622530699408
Warren,Washington Borough School District,522,488,-0.06513409961685823
Warren,Washington Township School District,526,380,-0.2775665399239544
Warren,White Township Consolidated School District,330,236,-0.2848484848484848
State Total,State Total,1335360,1296525,-0.029082045291157432
Atlantic,County Total,43729,38004,-0.13091998444967867
Bergen,County Total,131647,127807.5,-0.029165115802107122
Burlington,County Total,69159,64812,-0.06285515984904355
Camden,County Total,74474,74147,-0.004390794102639872
Cape May,County Total,12173,10786,-0.11394068840877347
Cumberland,County Total,25259.5,24883,-0.014905283160790983
Essex,County Total,113018.5,114035,0.008994102735392806
Gloucester,County Total,47708.5,44393.5,-0.06948447341668673
Hudson,County Total,76463,73227,-0.04232112263447685
Hunterdon,County Total,20695,16968.5,-0.1800676491906258
Mercer,County Total,56192,56878.5,0.015914266577361058
Middlesex,County Total,119253,119507.5,0.002134118219248249
Monmouth,County Total,97610.5,85301,-0.12610835924413866
Morris,County Total,76211,70318.5,-0.07731823490047374
Ocean,County Total,71227,61487,-0.1367458969211114
Passaic,County Total,78375,70751,-0.09727591706539074
Salem,County Total,10712.5,10083,-0.058763127187864694
Somerset,County Total,53028,48426,-0.08678434034849514
Sussex,County Total,21648,18537.5,-0.14368532889874353
Union,County Total,86728.5,90917,0.048294389964083306
Warren,County Total,16757,14513.5,-0.1338843468401265
